N›;IES;PROGRAMA;MFD001A;MFD001B;MFD001C;MFD001D;MFD001E;MFD001F;MFD001G;MFD001H;MFD001I;MFD001J;MFD001K;MFD001L;MFD002A;MFD002B;MFD002C;MFD002D;MFD002E;MFD002F;MFD002G;MFD002H;MFD002I;MFD002J;MFD002K;MFD002L;MFD002M;MFD002N;MFD003A;MFD003B;MFD003C;MFD003D;MFD003E;MFD003F;MFD003G;MFD003H;MFD004A;MFD004B;MFD004C;MFD004D;MFD004E;MFD004F;MFD004G;MFD004H;MFD004I;MFD004J;MFD004K;MFD004L;MFD004M;MFD005A;MFD005B;MFD005C;MFD005D;MFD005E;MFD005F;MFD006
OO1;1;Normalista;4;4;1;5;4;4;2;5;5;4;5;6;1;2;4;2;4;2;3;3;4;4;2;3;5;5;2;2;3;2;3;4;4;3;3;4;4;3;3;4;4;2;3;4;4;4;4;5;1;5;4;5;5;4
OO2;1;Normalista;4;6;1;3;6;6;6;5;4;5;6;6;6;3;1;6;4;5;6;6;6;6;5;4;5;5;6;5;4;6;5;6;2;6;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;1;5;1;1;1
OO3;1;Normalista;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
OO4;1;Normalista;6;5;6;5;4;5;5;6;5;1;6;5;2;4;3;3;4;4;6;6;5;3;6;6;6;5;3;2;5;2;2;5;2;2;4;4;3;4;4;4;4;4;4;4;4;3;2;6;6;6;6;6;6;2
OO5;1;Normalista;3;3;2;3;6;4;4;2;3;1;5;5;4;5;4;4;3;4;3;4;4;4;4;4;4;3;4;4;1;3;4;4;4;5;3;3;3;3;2;1;2;3;2;3;2;3;2;4;4;5;4;5;4;1
OO6;1;Normalista;6;5;4;4;6;5;4;4;3;1;5;5;3;5;5;5;5;5;5;5;2;2;5;6;5;5;6;5;4;5;2;5;5;2;3;3;3;3;4;3;3;2;3;3;3;4;3;6;5;5;5;5;5;3
OO7;1;Normalista;6;6;6;6;5;5;5;6;6;1;6;5;5;5;1;4;6;1;6;6;1;1;4;3;6;4;1;3;5;4;1;5;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;5;5;5;5;5;5;4
OO8;1;Normalista;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
OO9;1;Normalista;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;2;5;4;5;5;2;2;2;2;2;4;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;3
O10;1;Normalista;1;4;5;5;5;5;5;5;5;1;5;5;1;1;1;1;3;5;6;6;4;3;3;5;5;5;1;1;3;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;4;4;3
O11;1;Normalista;5;5;6;5;5;5;5;4;5;1;6;6;5;5;5;5;4;4;6;6;1;2;5;6;6;6;2;2;4;3;1;6;6;6;4;4;4;3;2;2;2;3;2;2;2;3;3;5;5;5;4;5;5;3
O12;1;Normalista;5;5;4;4;5;4;5;5;5;1;3;5;6;5;5;3;5;4;4;3;3;1;5;4;5;5;3;4;4;3;3;4;1;5;3;3;2;3;1;1;4;2;2;3;3;3;3;5;5;4;5;5;5;2
O13;1;Normalista;6;6;6;6;6;6;3;5;5;1;6;6;5;4;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;6;6;6;6;6;6;1
O14;1;Normalista;4;5;3;4;6;6;6;3;6;1;6;6;6;6;3;6;6;5;5;6;4;3;5;4;5;6;4;5;6;5;5;6;4;5;2;3;4;3;1;3;4;2;3;1;4;3;4;4;3;6;5;4;6;2
O15;1;Normalista;6;5;5;4;5;5;4;5;5;1;5;6;5;4;2;2;6;5;5;6;5;2;5;1;3;4;2;5;4;2;2;4;6;4;4;4;4;3;2;2;3;4;4;4;4;4;4;5;6;6;6;6;6;3
O16;1;Normalista;6;5;5;6;6;5;6;6;4;1;6;5;4;4;4;5;5;4;5;4;5;6;6;1;5;6;4;5;5;6;5;5;6;1;3;3;3;4;4;4;4;1;3;3;4;3;3;6;6;5;6;6;5;3
O17;1;Normalista;5;5;5;3;5;2;5;4;5;1;5;5;4;2;2;2;3;3;6;4;4;3;4;6;4;5;2;2;2;1;2;3;5;2;3;3;3;2;3;2;4;4;3;3;3;4;3;5;5;5;5;6;6;3
